student_id,register_number,student_name,email,phone,gender,department,course,year,semester,section,academic_year,previous_gpa,previous_percentage,internal_marks,assignment_score,quiz_score,midterm_score,final_exam_score,classes_held,classes_attended,attendance_percentage,study_hours_per_day,assignment_completion_rate,online_learning_hours,library_usage,participation_score,final_score,grade,pass_fail,risk_level
217,CSE20250217,Falak Bakshi,falak.bakshi93@college.edu,+91-9923781318,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,8,C,2025-2026,5.32,57.17,28.73,19.37,12.71,32.56,54.65,80,50,62.5,5.96,80.39,2.98,4,65.85,70.25,A,Pass,Low
218,IT20250218,Aradhana Konda,aradhana.konda29@college.edu,+91-8278244804,Female,Information Technology,B.E. Information Technology,4,7,A,2025-2026,6.13,63.54,30.02,14.1,15.08,38.32,47.23,84,63,75.0,4.09,48.91,2.98,2,66.33,69.39,B+,Pass,Medium
219,CSE20250219,Vyanjana Bora,vyanjana.bora93@college.edu,+91-8174491176,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,8,B,2025-2026,6.57,65.78,16.47,11.28,8.9,28.25,42.55,69,34,49.28,2.11,66.53,2.73,1,47.21,51.18,B,Pass,Medium
220,ME20240220,Vedant Sachdeva,vedant.sachdeva37@college.edu,+91-7339428835,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,8,B,2024-2025,7.49,71.47,26.93,19.88,12.36,37.32,54.48,71,47,66.2,5.14,67.74,3.53,5,62.76,71.68,A,Pass,Low
221,ME20240221,Indali Rajagopalan,indali.rajagopalan35@college.edu,+91-9413849014,Female,Mechanical Engineering,B.E. Mechanical Engineering,3,6,A,2024-2025,5.57,52.53,26.93,17.29,10.41,31.94,38.82,82,55,67.07,3.62,54.02,2.45,2,69.16,59.67,B,Pass,Medium
222,AIDS20240222,Yachana Ratta,yachana.ratta7@college.edu,+91-7430346953,Female,AI & Data Science,B.Tech. AI & Data Science,2,3,A,2024-2025,6.23,67.7,26.02,21.41,10.04,45.38,50.49,73,52,71.23,4.98,55.19,1.21,2,60.12,72.85,A,Pass,Medium
223,ECE20240223,Jairaj Divan,jairaj.divan61@college.edu,+91-9050625761,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,A,2024-2025,6.62,67.33,30.73,20.17,11.41,27.64,48.02,80,55,68.75,4.15,69.73,2.78,1,50.27,65.37,B+,Pass,Low
224,IT20240224,Aahana Chhabra,aahana.chhabra12@college.edu,+91-9801601713,Female,Information Technology,B.E. Information Technology,3,6,C,2024-2025,6.29,59.15,21.5,11.15,5.38,36.35,50.78,78,42,53.85,3.49,52.5,0.82,0,43.2,59.77,B,Pass,Medium
225,ME20240225,Unnati Kanda,unnati.kanda5@college.edu,+91-8705078697,Female,Mechanical Engineering,B.E. Mechanical Engineering,1,1,B,2024-2025,6.68,61.88,28.58,17.08,15.94,26.4,48.65,85,56,65.88,6.86,72.07,1.1,2,61.62,65.0,B+,Pass,Low
226,ME20250226,Hema Vasa,hema.vasa14@college.edu,+91-8438994940,Female,Mechanical Engineering,B.E. Mechanical Engineering,3,5,A,2025-2026,6.66,65.74,32.43,19.0,12.79,29.97,44.36,69,51,73.91,4.98,53.66,1.48,2,44.64,65.9,B+,Pass,Low
227,ME20250227,Vincent Bedi,vincent.bedi15@college.edu,+91-8420277403,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,7,C,2025-2026,9.08,90.2,35.4,19.26,17.24,42.16,74.55,65,62,95.38,7.36,97.48,2.2,3,93.46,89.89,A+,Pass,Low
228,ME20250228,Kritika Dara,kritika.dara73@college.edu,+91-9896530837,Female,Mechanical Engineering,B.E. Mechanical Engineering,3,5,A,2025-2026,7.05,66.56,23.13,15.27,9.64,25.67,40.66,84,41,48.81,6.02,60.72,2.45,1,73.2,54.3,B,Pass,Medium
229,EEE20250229,Vedant Deol,vedant.deol86@college.edu,+91-7409675904,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,4,8,C,2025-2026,5.42,55.62,21.73,11.43,7.79,21.69,29.16,65,29,44.62,4.13,48.35,2.19,5,69.17,43.78,C,Pass,High
230,ECE20250230,Vincent Wali,vincent.wali58@college.edu,+91-8146731886,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,5,A,2025-2026,9.15,88.79,37.37,21.68,17.59,45.44,66.18,90,86,95.56,7.95,100.0,3.63,2,75.65,89.75,A+,Pass,Low
231,EEE20250231,Nitara Savant,nitara.savant8@college.edu,+91-9868119543,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,C,2025-2026,6.88,70.04,26.32,18.07,16.23,26.38,41.72,63,49,77.78,4.19,74.96,1.25,2,56.98,61.16,B+,Pass,Low
232,CSE20240232,Yashawini Sandhu,yashawini.sandhu38@college.edu,+91-8578589030,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,8,C,2024-2025,3.67,40.23,11.66,13.88,5.99,23.32,42.94,79,28,35.44,2.13,25.77,2.48,0,57.66,46.07,C,Pass,High
233,CSE20250233,Udant Dutt,udant.dutt71@college.edu,+91-9022191192,Male,Computer Science Engineering,B.E. Computer Science Engineering,4,7,B,2025-2026,4.53,41.92,21.42,10.8,10.85,30.81,40.76,84,48,57.14,3.57,47.94,1.03,3,47.11,54.88,B,Pass,High
234,ME20240234,Wazir Sengupta,wazir.sengupta68@college.edu,+91-8553854176,Male,Mechanical Engineering,B.E. Mechanical Engineering,2,3,C,2024-2025,9.39,100.0,35.63,20.88,18.82,50.0,58.81,62,51,82.26,6.11,92.07,4.26,5,74.27,88.02,A+,Pass,Low
235,AIDS20240235,Kai Kota,kai.kota67@college.edu,+91-8897690739,Male,AI & Data Science,B.Tech. AI & Data Science,1,1,C,2024-2025,4.8,48.94,20.48,10.11,12.34,30.78,35.07,63,28,44.44,0.5,54.5,1.71,2,65.95,52.21,B,Pass,High
236,ME20250236,Manya Verma,manya.verma59@college.edu,+91-7566696611,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,7,C,2025-2026,8.9,90.91,30.38,24.69,13.17,43.32,61.92,76,72,94.74,6.03,77.06,2.65,2,100.0,82.2,A+,Pass,Low
237,EEE20250237,Watika Khare,watika.khare51@college.edu,+91-8092885428,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,C,2025-2026,6.53,62.61,19.89,14.98,6.4,26.77,49.03,86,42,48.84,4.81,34.96,2.52,0,33.21,55.4,B,Pass,High
238,CSE20250238,Mahika Sarraf,mahika.sarraf70@college.edu,+91-7258795967,Female,Computer Science Engineering,B.E. Computer Science Engineering,1,1,B,2025-2026,6.8,70.62,31.36,16.38,15.72,30.58,49.87,89,59,66.29,6.02,56.62,1.09,4,78.83,68.66,B+,Pass,Low
239,ECE20240239,Brinda Mangal,brinda.mangal99@college.edu,+91-9755328890,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,2,B,2024-2025,6.22,63.19,33.77,20.64,14.74,38.86,56.04,83,53,63.86,6.24,80.56,1.31,3,76.49,78.09,A,Pass,Low
240,ECE20250240,Jacob Magar,jacob.magar88@college.edu,+91-9842377282,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,B,2025-2026,4.53,43.16,27.07,17.05,9.37,35.15,58.12,87,68,78.16,3.53,67.1,3.62,3,44.17,69.73,B+,Pass,Medium
241,ME20250241,Oliver Nagarajan,oliver.nagarajan94@college.edu,+91-7956447193,Male,Mechanical Engineering,B.E. Mechanical Engineering,3,5,A,2025-2026,4.32,39.01,27.82,13.81,4.65,28.55,37.15,86,36,41.86,4.25,43.3,1.16,0,36.05,53.37,B,Pass,High
242,AIDS20250242,Banjeet Devi,banjeet.devi30@college.edu,+91-8063056115,Male,AI & Data Science,B.Tech. AI & Data Science,3,6,C,2025-2026,5.94,57.72,35.51,17.3,12.47,22.37,41.84,74,46,62.16,4.88,60.02,2.34,2,81.77,61.62,B+,Pass,Medium
243,IT20250243,Forum Kashyap,forum.kashyap3@college.edu,+91-8033653860,Female,Information Technology,B.E. Information Technology,2,3,A,2025-2026,7.84,83.09,24.65,19.14,13.7,47.79,70.56,66,51,77.27,4.91,87.51,2.69,0,66.62,83.66,A+,Pass,Low
244,EEE20240244,Rehaan Dua,rehaan.dua6@college.edu,+91-8727716512,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,1,2,C,2024-2025,7.34,72.44,36.84,18.6,12.15,30.04,61.83,74,63,85.14,4.26,83.05,2.19,1,96.32,75.8,A,Pass,Low
245,CSE20250245,Hredhaan Bhatt,hredhaan.bhatt94@college.edu,+91-9474375067,Male,Computer Science Engineering,B.E. Computer Science Engineering,1,1,C,2025-2026,8.95,90.05,34.42,23.22,20.0,45.42,56.54,70,59,84.29,6.96,100.0,2.15,3,91.73,85.59,A+,Pass,Low
246,CE20240246,Triya Reddy,triya.reddy67@college.edu,+91-7949371357,Female,Civil Engineering,B.E. Civil Engineering,3,5,B,2024-2025,4.99,52.3,21.24,18.48,12.38,19.37,40.81,73,31,42.47,4.72,58.31,1.17,1,40.45,52.93,B,Pass,High
247,AIDS20250247,Noah Shukla,noah.shukla45@college.edu,+91-9763021449,Male,AI & Data Science,B.Tech. AI & Data Science,2,4,C,2025-2026,6.95,68.27,31.49,19.73,12.91,36.74,62.3,81,61,75.31,5.94,77.55,2.53,2,75.97,77.54,A,Pass,Low
248,EEE20240248,Sarthak Bhatia,sarthak.bhatia24@college.edu,+91-9310384304,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,B,2024-2025,6.66,67.85,29.29,19.07,12.67,29.05,41.25,75,52,69.33,4.17,56.78,3.45,1,76.1,62.39,B+,Pass,Low
249,CSE20240249,Ishanvi Salvi,ishanvi.salvi54@college.edu,+91-9393528385,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,5,B,2024-2025,4.9,52.61,26.27,9.55,16.37,20.78,45.51,76,45,59.21,3.48,38.76,0.98,0,38.96,56.77,B,Pass,High
250,CSE20240250,Saumya Bahri,saumya.bahri48@college.edu,+91-7397129827,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,5,B,2024-2025,6.36,58.54,28.61,9.64,13.02,34.96,52.48,77,45,58.44,6.89,73.09,3.79,3,53.46,66.64,B+,Pass,Medium
251,CSE20240251,Sachi Sood,sachi.sood25@college.edu,+91-9523652725,Female,Computer Science Engineering,B.E. Computer Science Engineering,1,2,B,2024-2025,5.83,62.36,24.42,8.7,16.02,28.86,48.29,83,50,60.24,6.0,36.59,1.93,3,49.85,60.67,B+,Pass,Medium
252,CSE20250252,Aarini Pandey,aarini.pandey2@college.edu,+91-7909707455,Female,Computer Science Engineering,B.E. Computer Science Engineering,4,7,B,2025-2026,4.39,44.24,20.99,17.96,8.75,24.05,44.77,89,48,53.93,3.04,46.72,1.78,1,43.8,54.97,B,Pass,High
253,ME20240253,Manthan Ramakrishnan,manthan.ramakrishnan31@college.edu,+91-9371162526,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,2,A,2024-2025,6.97,69.43,38.14,18.49,17.87,26.78,75.0,70,46,65.71,6.83,73.8,1.94,4,56.32,83.79,A+,Pass,Low
254,ECE20250254,Shaurya Yohannan,shaurya.yohannan64@college.edu,+91-9001472250,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,8,B,2025-2026,8.36,84.18,28.25,14.6,12.96,38.55,54.14,63,55,87.3,3.93,76.64,1.69,4,84.23,70.98,A,Pass,Low
255,ME20250255,Imaran Sura,imaran.sura6@college.edu,+91-9416025300,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,8,A,2025-2026,6.08,60.29,20.26,20.0,15.94,44.88,67.55,87,64,73.56,5.03,59.58,2.45,1,57.3,80.06,A+,Pass,Medium
256,CSE20250256,Imaran Mahajan,imaran.mahajan26@college.edu,+91-8416760621,Male,Computer Science Engineering,B.E. Computer Science Engineering,1,2,C,2025-2026,7.87,78.6,30.1,16.38,13.17,27.03,56.25,67,42,62.69,6.02,96.93,3.95,2,67.22,67.95,B+,Pass,Low
257,CE20250257,Tejas Sunder,tejas.sunder63@college.edu,+91-9756056675,Male,Civil Engineering,B.E. Civil Engineering,2,4,C,2025-2026,10.0,97.72,34.16,23.32,16.62,48.96,62.84,83,61,73.49,6.69,60.76,3.8,2,86.25,88.52,A+,Pass,Low
258,CSE20250258,Akshay Ramachandran,akshay.ramachandran70@college.edu,+91-9756550636,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,5,A,2025-2026,6.19,63.55,24.69,10.32,5.47,18.88,39.26,90,41,45.56,2.09,49.35,3.74,0,57.98,46.97,C,Pass,High
259,AIDS20250259,Om Ravel,om.ravel81@college.edu,+91-7993998848,Male,AI & Data Science,B.Tech. AI & Data Science,1,1,A,2025-2026,4.75,43.53,22.93,11.21,6.25,22.38,28.31,62,24,38.71,2.89,40.24,0.53,2,43.52,43.48,C,Pass,High
260,AIDS20240260,Gayathri Sibal,gayathri.sibal86@college.edu,+91-9647930485,Female,AI & Data Science,B.Tech. AI & Data Science,2,4,B,2024-2025,5.14,55.06,18.3,10.28,7.39,20.87,51.5,89,42,47.19,3.19,36.92,2.59,1,74.55,51.43,B,Pass,High
261,ECE20250261,Devansh Walla,devansh.walla68@college.edu,+91-8180002487,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,1,1,C,2025-2026,6.82,64.78,22.29,15.31,12.53,22.21,41.41,77,59,76.62,4.7,60.96,2.42,5,75.58,53.96,B,Pass,Low
262,AIDS20240262,Agastya Ramesh,agastya.ramesh31@college.edu,+91-7824341906,Male,AI & Data Science,B.Tech. AI & Data Science,4,7,A,2024-2025,6.62,60.79,31.16,14.65,18.45,27.99,58.74,79,66,83.54,6.72,87.29,3.05,3,87.57,72.07,A,Pass,Low
263,CE20240263,Agastya Chacko,agastya.chacko52@college.edu,+91-8971380304,Male,Civil Engineering,B.E. Civil Engineering,3,6,B,2024-2025,8.34,77.51,29.61,16.93,15.83,40.51,59.0,78,63,80.77,4.35,67.93,2.31,1,63.0,77.28,A,Pass,Low
264,ME20240264,Upadhriti Deshmukh,upadhriti.deshmukh84@college.edu,+91-7136083924,Female,Mechanical Engineering,B.E. Mechanical Engineering,2,4,C,2024-2025,7.46,77.57,33.32,14.38,16.96,33.92,53.01,62,37,59.68,6.42,81.3,3.05,2,71.04,72.59,A,Pass,Medium
265,ECE20240265,Vedhika Gopal,vedhika.gopal11@college.edu,+91-9146875428,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,7,C,2024-2025,10.0,100.0,37.52,25.0,20.0,42.11,69.75,87,86,98.85,8.33,90.94,3.01,2,96.91,92.36,O,Pass,Low
266,CE20240266,Aryan Lad,aryan.lad89@college.edu,+91-9434319360,Male,Civil Engineering,B.E. Civil Engineering,3,5,C,2024-2025,5.09,50.45,24.38,16.33,16.33,29.89,45.88,75,48,64.0,6.02,69.55,2.49,2,45.18,63.24,B+,Pass,Medium
267,AIDS20250267,Ranveer Narang,ranveer.narang27@college.edu,+91-9521300895,Male,AI & Data Science,B.Tech. AI & Data Science,3,5,A,2025-2026,7.28,68.59,29.6,22.68,19.13,31.69,63.12,64,46,71.88,5.92,77.29,3.12,4,48.57,78.74,A,Pass,Low
268,ME20240268,Jagvi Sha,jagvi.sha73@college.edu,+91-8671414897,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,7,B,2024-2025,7.34,74.17,26.89,13.39,15.15,25.68,50.63,81,66,81.48,4.38,69.35,3.47,4,74.24,62.84,B+,Pass,Low
269,IT20240269,Nihal Nazareth,nihal.nazareth45@college.edu,+91-7230624431,Male,Information Technology,B.E. Information Technology,4,7,C,2024-2025,8.7,83.23,31.01,19.22,19.57,47.0,45.93,63,51,80.95,5.8,87.0,2.69,2,82.93,77.91,A,Pass,Low
270,CE20250270,Sachi Mall,sachi.mall42@college.edu,+91-7127241247,Female,Civil Engineering,B.E. Civil Engineering,1,2,C,2025-2026,5.29,54.82,27.78,16.35,12.0,31.37,44.16,80,37,46.25,4.22,38.33,0.96,0,52.37,62.72,B+,Pass,High
271,ECE20250271,Shivansh Krishnan,shivansh.krishnan88@college.edu,+91-9516314486,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,7,B,2025-2026,9.5,95.2,33.79,19.74,15.71,40.97,73.29,81,75,92.59,5.49,81.81,2.72,2,93.38,87.33,A+,Pass,Low
272,CE20240272,Banjeet Singhal,banjeet.singhal20@college.edu,+91-8632087531,Male,Civil Engineering,B.E. Civil Engineering,3,5,C,2024-2025,5.81,59.72,25.57,7.88,11.74,26.41,45.84,82,31,37.8,4.52,53.19,1.3,4,40.71,56.41,B,Pass,Medium
273,CSE20240273,Aditya Zacharia,aditya.zacharia40@college.edu,+91-8910126009,Male,Computer Science Engineering,B.E. Computer Science Engineering,4,8,B,2024-2025,5.99,59.73,24.88,20.27,11.73,25.12,52.31,71,47,66.2,5.28,53.14,1.94,4,54.16,63.38,B+,Pass,Medium
274,AIDS20250274,Atharv Palla,atharv.palla72@college.edu,+91-9200916676,Male,AI & Data Science,B.Tech. AI & Data Science,2,3,A,2025-2026,9.73,100.0,34.0,25.0,18.61,46.96,68.45,73,69,94.52,8.46,97.55,4.37,1,100.0,91.73,O,Pass,Low
275,AIDS20250275,Jasmit Biswas,jasmit.biswas2@college.edu,+91-8253474844,Female,AI & Data Science,B.Tech. AI & Data Science,3,5,C,2025-2026,9.56,98.84,32.43,21.54,18.76,34.69,66.59,73,64,87.67,6.23,76.64,3.86,2,80.03,82.63,A+,Pass,Low
276,AIDS20250276,Anmol Balasubramanian,anmol.balasubramanian35@college.edu,+91-8293348937,Male,AI & Data Science,B.Tech. AI & Data Science,2,3,C,2025-2026,9.64,92.75,37.1,22.85,18.07,48.82,60.88,68,54,79.41,6.71,99.34,2.95,2,79.88,89.54,A+,Pass,Low
277,AIDS20250277,Jatin Iyengar,jatin.iyengar10@college.edu,+91-8551019709,Male,AI & Data Science,B.Tech. AI & Data Science,2,4,B,2025-2026,7.66,75.23,31.03,19.09,15.48,43.46,58.87,68,55,80.88,5.36,82.59,3.16,5,64.47,80.09,A+,Pass,Low
278,ME20240278,Advaith Dua,advaith.dua1@college.edu,+91-8699484121,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,7,B,2024-2025,7.32,74.82,36.14,18.87,19.37,35.55,62.89,70,47,67.14,5.81,74.58,3.14,4,77.4,82.43,A+,Pass,Low
279,ECE20250279,Kashvi Date,kashvi.date84@college.edu,+91-9552898167,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,3,6,B,2025-2026,6.24,60.24,27.77,13.01,12.82,22.25,62.45,64,32,50.0,5.8,43.84,2.23,2,52.48,65.77,B+,Pass,High
280,EEE20240280,Vritti Contractor,vritti.contractor41@college.edu,+91-8251760286,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,B,2024-2025,7.84,77.16,29.81,22.97,17.19,35.39,51.14,83,63,75.9,4.4,84.54,3.53,3,61.23,74.25,A,Pass,Low
281,ECE20250281,Janani Shroff,janani.shroff51@college.edu,+91-8567729816,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,B,2025-2026,6.93,69.3,40.0,18.86,11.25,39.4,54.47,63,62,98.41,4.53,86.16,2.31,5,63.79,78.29,A,Pass,Low
282,CSE20250282,Lavanya Pillay,lavanya.pillay27@college.edu,+91-8883149695,Female,Computer Science Engineering,B.E. Computer Science Engineering,2,3,C,2025-2026,6.63,66.64,24.25,12.44,13.16,33.88,51.75,85,50,58.82,3.5,79.95,1.74,2,66.15,64.78,B+,Pass,Medium
283,ME20250283,Fiyaz Contractor,fiyaz.contractor39@college.edu,+91-8039472999,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,2,C,2025-2026,2.08,20.0,13.75,13.17,11.51,17.55,27.75,68,29,42.65,3.48,39.3,2.55,2,17.22,39.62,F,Fail,High
284,ME20250284,Gautami Mukhopadhyay,gautami.mukhopadhyay62@college.edu,+91-9500719008,Female,Mechanical Engineering,B.E. Mechanical Engineering,4,8,A,2025-2026,7.47,70.98,22.96,20.93,18.17,31.61,49.43,72,53,73.61,5.86,65.04,2.28,3,69.38,67.8,B+,Pass,Low
285,CE20240285,Chatura Bal,chatura.bal32@college.edu,+91-9824377567,Male,Civil Engineering,B.E. Civil Engineering,4,7,B,2024-2025,6.1,62.51,21.59,22.01,15.89,32.57,46.28,81,58,71.6,4.26,59.24,3.08,2,63.85,65.42,B+,Pass,Medium
286,ME20250286,Nachiket Prashad,nachiket.prashad13@college.edu,+91-8111272861,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,2,B,2025-2026,5.06,56.95,23.3,10.59,10.98,26.34,32.53,67,32,47.76,3.7,64.83,1.76,1,64.49,49.73,C,Pass,Medium
287,EEE20250287,Rushil Issac,rushil.issac87@college.edu,+91-9527974623,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,B,2025-2026,8.13,83.6,35.65,16.67,11.11,37.26,47.45,82,36,43.9,5.73,68.13,3.09,3,95.03,70.82,A,Pass,Medium
288,IT20250288,Baljiwan Kibe,baljiwan.kibe11@college.edu,+91-7498513988,Male,Information Technology,B.E. Information Technology,1,2,A,2025-2026,8.82,86.39,33.5,18.33,18.56,36.44,57.8,86,66,76.74,7.54,79.44,3.51,5,97.04,78.55,A,Pass,Low
289,CSE20250289,Dalaja Mitra,dalaja.mitra67@college.edu,+91-9074151376,Female,Computer Science Engineering,B.E. Computer Science Engineering,3,6,B,2025-2026,6.41,67.38,28.02,14.23,5.16,19.94,47.19,71,21,29.58,3.71,72.46,2.32,2,55.15,54.28,B,Pass,Medium
290,ECE20250290,Darpan Barman,darpan.barman91@college.edu,+91-7494287462,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,4,8,A,2025-2026,4.6,44.43,12.68,3.59,7.2,22.47,24.91,60,19,31.67,2.79,31.41,3.15,3,56.69,34.24,F,Fail,High
291,ME20240291,Oscar Walia,oscar.walia71@college.edu,+91-7687777633,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,1,C,2024-2025,7.54,75.22,30.12,16.72,16.67,29.17,61.13,70,46,65.71,6.75,56.55,2.92,3,63.9,73.2,A,Pass,Low
292,ECE20240292,Tanish Prabhakar,tanish.prabhakar85@college.edu,+91-8856003347,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,C,2024-2025,8.92,88.6,31.95,24.28,13.32,35.78,50.35,72,56,77.78,6.74,85.8,2.46,0,72.17,73.73,A,Pass,Low
293,EEE20250293,Bakhshi Toor,bakhshi.toor91@college.edu,+91-7922542252,Male,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,2,4,C,2025-2026,6.52,64.59,23.77,16.41,13.42,31.05,36.07,66,40,60.61,5.19,55.75,3.37,2,46.75,57.52,B,Pass,Low
294,ME20240294,Onkar Arora,onkar.arora26@college.edu,+91-8965164102,Male,Mechanical Engineering,B.E. Mechanical Engineering,1,1,C,2024-2025,8.16,81.81,24.78,16.73,7.26,35.0,50.38,63,50,79.37,5.24,76.29,1.95,2,61.03,63.72,B+,Pass,Low
295,CE20250295,Ucchal Suri,ucchal.suri76@college.edu,+91-7490623034,Female,Civil Engineering,B.E. Civil Engineering,4,8,C,2025-2026,5.03,48.91,22.26,10.07,8.37,27.59,31.88,71,41,57.75,1.76,43.54,1.7,1,54.07,48.02,C,Pass,High
296,ECE20240296,Damyanti Sant,damyanti.sant41@college.edu,+91-7506211965,Female,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,4,C,2024-2025,6.89,67.03,24.11,17.52,10.21,22.89,49.35,67,47,70.15,5.17,59.73,3.06,2,60.32,58.64,B,Pass,Low
297,CSE20250297,Pratyush Sharaf,pratyush.sharaf18@college.edu,+91-9468773157,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,5,C,2025-2026,7.67,75.44,31.53,15.72,13.58,30.18,55.32,72,46,63.89,4.04,80.59,2.54,2,62.99,69.74,B+,Pass,Low
298,ECE20250298,Faraj Saran,faraj.saran41@college.edu,+91-8937034431,Male,Electronics & Communication Engineering,B.E. Electronics & Communication Engineering,2,3,B,2025-2026,9.09,87.52,40.0,25.0,15.12,46.93,70.75,79,79,100.0,7.73,93.51,3.41,0,74.64,94.04,O,Pass,Low
299,IT20240299,Hema Vig,hema.vig72@college.edu,+91-9170839755,Female,Information Technology,B.E. Information Technology,1,2,A,2024-2025,8.75,87.39,34.34,21.59,18.22,45.13,62.85,80,80,100.0,7.21,91.71,3.44,2,74.05,86.81,A+,Pass,Low
300,ME20250300,Krishna Yohannan,krishna.yohannan11@college.edu,+91-9428365056,Male,Mechanical Engineering,B.E. Mechanical Engineering,4,8,C,2025-2026,8.93,92.86,38.1,21.05,13.12,42.85,65.87,60,51,85.0,6.98,72.24,3.27,4,67.88,86.2,A+,Pass,Low
301,CSE20240301,Wyatt Shroff,wyatt.shroff22@college.edu,+91-8964180409,Male,Computer Science Engineering,B.E. Computer Science Engineering,3,5,B,2024-2025,7.5,76.54,27.62,21.35,12.41,31.37,30.49,78,63,80.77,4.97,68.29,3.38,3,71.82,58.47,B,Pass,Low
302,CE20240302,Tejas Loyal,tejas.loyal70@college.edu,+91-8575659319,Male,Civil Engineering,B.E. Civil Engineering,4,7,C,2024-2025,5.18,45.07,24.6,15.8,17.36,35.57,45.57,77,48,62.34,6.31,50.85,1.19,3,36.65,66.35,B+,Pass,Medium
303,AIDS20240303,Ojasvi Korpal,ojasvi.korpal84@college.edu,+91-8063140236,Female,AI & Data Science,B.Tech. AI & Data Science,4,7,B,2024-2025,9.53,92.7,32.61,18.53,11.05,31.29,48.47,69,54,78.26,7.7,57.18,2.83,4,62.39,67.51,B+,Pass,Low
304,AIDS20240304,Caleb Mallick,caleb.mallick16@college.edu,+91-8017675569,Male,AI & Data Science,B.Tech. AI & Data Science,4,8,B,2024-2025,6.51,64.15,26.61,17.96,15.03,32.13,44.9,66,45,68.18,4.27,64.25,3.1,4,64.02,65.02,B+,Pass,Low
305,EEE20240305,Varenya Kohli,varenya.kohli27@college.edu,+91-7254939955,Female,Electrical & Electronics Engineering,B.E. Electrical & Electronics Engineering,3,6,A,2024-2025,6.18,56.28,26.61,17.75,16.21,30.74,50.38,78,54,69.23,3.69,73.03,3.39,2,72.21,67.39,B+,Pass,Low
306,IT20250306,Vincent Raghavan,vincent.raghavan35@college.edu,+91-9209395548,Male,Information Technology,B.E. Information Technology,2,4,C,2025-2026,8.0,82.92,27.42,13.05,16.19,41.65,52.64,88,65,73.86,7.21,65.76,2.69,3,47.02,72.42,A,Pass,Low
307,AIDS20250307,Pahal Balakrishnan,pahal.balakrishnan17@college.edu,+91-7569902893,Female,AI & Data Science,B.Tech. AI & Data Science,2,4,A,2025-2026,7.72,80.03,27.59,17.55,13.16,28.62,48.64,67,40,59.7,4.92,52.67,1.72,1,70.99,64.4,B+,Pass,Medium
308,IT20240308,Yachana Nair,yachana.nair35@college.edu,+91-9696435541,Female,Information Technology,B.E. Information Technology,2,4,B,2024-2025,7.98,82.5,29.76,23.59,18.56,41.68,68.74,73,69,94.52,8.4,89.14,4.67,2,100.0,86.51,A+,Pass,Low
309,AIDS20250309,Hemani Sura,hemani.sura48@college.edu,+91-8952902914,Female,AI & Data Science,B.Tech. AI & Data Science,1,2,C,2025-2026,6.35,65.34,21.03,16.11,12.34,34.96,40.61,90,60,66.67,3.22,55.12,2.26,2,43.68,59.56,B,Pass,Medium
